tweet_id,retweet_count,favorite_count
855857698524602368,1906,11085
855851453814013952,16514,42829
855818117272018944,4943,24795
855459453768019968,7474,27708
855245323840757760,5413,0
855138241867124737,39,0
854732716440526848,5523,21206
854482394044301312,6191,27215
854365224396361728,4269,17599
854120357044912130,6795,29860
854010172552949760,2876,15183
853760880890318849,5258,26705
853639147608842240,9119,32315
853299958564483072,3250,14493
852936405516943360,1830,0
852912242202992640,1654,8446
852672615818899456,1985,13985
852553447878664193,3199,15251
852311364735569921,9111,31053
852226086759018497,6259,18746
852189679701164033,1456,10787
851861385021730816,19,0
851591660324737024,3214,15311
851464819735769094,6492,22816
851224888060895234,5302,19488
850753642995093505,8330,28853
850380195714523136,2398,12356
850333567704068097,305,3266
850145622816686080,3489,15377
850019790995546112,4500,19229
849776966551130114,7011,28609
849668094696017920,4578,0
849412302885593088,2909,14996
849336543269576704,1734,10797
849051919805034497,7847,39958
848690551926992896,4015,23840
848324959059550208,4286,23387
848213670039564288,668,7728
848212111729840128,2800,15409
847978865427394560,3019,0
847971574464610304,410,0
847962785489326080,4713,22262
847842811428974592,1218,5127
847617282490613760,383,6630
847606175596138505,3173,17786
847251039262605312,4031,19444
847157206088847362,5393,18802
847116187444137987,2954,20336
846874817362120707,3644,19048
846514051647705089,10704,42174
846505985330044928,2847,13391
846153765933735936,8414,29856
846139713627017216,9395,29455
846042936437604353,2663,15166
845812042753855489,8077,27731
845677943972139009,4496,23969
845397057150107648,1656,7269
845306882940190720,5014,22144
845098359547420673,7129,0
844979544864018432,2371,12957
844973813909606400,2947,14274
844580511645339650,2893,15636
844223788422217728,2042,13008
843981021012017153,2769,14460
843856843873095681,4298,20438
843604394117681152,2553,16088
843235543001513987,5582,20464
842846295480000512,3407,14568
842765311967449089,1195,6432
842535590457499648,3275,17303
842163532590374912,5413,23298
842115215311396866,2836,13323
841833993020538882,13998,0
841680585030541313,7352,24602
841439858740625411,3412,12033
841320156043304961,5169,18883
841314665196081154,4352,15106
841077006473256960,5003,21834
840761248237133825,1651,0
840728873075638272,15024,0
840698636975636481,2,170
840696689258311684,906,11742
840632337062862849,1651,8609
840370681858686976,4284,15720
840268004936019968,5374,18364
839990271299457024,2124,12840
839549326359670784,7281,26181
839290600511926273,137,0
839239871831150596,6096,25859
838952994649550848,3759,18814
838921590096166913,1919,10659
838916489579200512,31,0
838831947270979586,10346,0
838561493054533637,1257,10498
838476387338051585,4467,21505
838201503651401729,9445,0
838150277551247360,313,1596
838085839343206401,1,134
838083903487373313,2921,16889
837820167694528512,7358,32584
837482249356513284,417,3696
837471256429613056,2121,12269
837110210464448512,2232,15417
836989968035819520,2169,12242
836753516572119041,4366,18547
836677758902222849,2086,12117
836648853927522308,519,0
836397794269200385,25848,0
836380477523124226,2818,14197
836260088725786625,4093,20439
